Query_id	Query_length	Query_start	Query_end	Subject_id	Subject_length	Subject_start	Subject_end	Identity	Positive	Gap	Align_length	Score	E_value	Query_annotation	Subject_annotation
ZS_10_C3544765_1	625	3	608	AP014622.1_cds_BAP24464.1_5332	864	645	40	0.94	--	0	606	924	0.0	length=625 	[gene=int] [protein=integrase] [protein_id=BAP24464.1]
ZS_10_C3554781_1	700	12	92	AP014651.1_cds_BAQ37350.1_718	162	57	137	0.91	--	0	81	105	1e-23	length=700 	[gene=PA257_0720] [protein=integrase] [protein_id=BAQ37350.1]
ZS_10_scaffold11341_1	692	1	176	CP000450.1_cds_Neut_0680_659	1203	1028	1203	1	--	0	176	349	5e-97	length=692 	[gene=Neut_0680] [protein=phage integrase family protein] [protein_id=ABI58952.1]
ZS_10_scaffold11751_1	697	1	130	AF071555.1_cds_AAC98497.1_7	654	525	654	1	--	0	130	258	1e-69	length=697 	[protein=GroEL-like/integrase fusion protein] [protein_id=AAC98497.1]
ZS_10_scaffold188_2	1247	3	393	AY686225.1_cds_AAT94162.1_1	391	391	1	0.99	--	0	391	751	0.0	length=1247 	[gene=intI1] [protein=DNA integrase] [partial=3'] [protein_id=AAT94162.1]
ZS_10_scaffold35398_1	1049	77	1039	CP010351.1_cds_RZ95_18930_349	963	1	963	0.98	--	0	963	1758	0.0	length=1049 	[gene=RZ95_18930] [protein=integrase] [protein_id=ALV74888.1]
ZS_10_scaffold37271_2	2316	1371	1898	AP014651.1_cds_BAQ41772.1_5140	528	528	1	0.96	--	0	528	912	0.0	length=2316 	[gene=PA257_5193] [protein=putative integrase regulator R protein] [protein_id=BAQ41772.1]
ZS_10_scaffold3821_5	1141	345	426	CP009116.1_cds_FH42_26500_17	177	1	82	0.92	--	0	82	115	2e-26	length=1141 	[gene=FH42_26500] [protein=integrase] [protein_id=AIJ44133.1]
ZS_10_scaffold38426_1	1251	145	279	CP001232.1_cds_pO103_85_79	1119	985	1119	0.96	--	0	135	228	2e-60	length=1251 	[gene=intI1] [protein=class 1 integron integrase protein IntI1] [protein_id=ACJ63570.1]
ZS_10_scaffold45796_1	1249	1	1249	AP012280.1_cds_BAK88318.1_1426	1929	484	1732	0.96	--	0	1249	2127	0.0	length=1249 	[gene=NCGM2_1452] [protein=integrase] [protein_id=BAK88318.1]
ZS_10_scaffold46368_1	720	1	720	CP008739.2_cds_AID83695.2_1737	1305	720	1	1	--	0	720	1427	0.0	length=720 	[gene=P797_10085] [protein=integrase] [protein_id=AID83695.2]
ZS_10_scaffold49998_1	787	586	787	AP014622.1_cds_BAP24464.1_5332	864	864	663	0.97	--	0	202	361	1e-100	length=787 	[gene=int] [protein=integrase] [protein_id=BAP24464.1]
ZS_10_scaffold52104_2	756	143	748	AP014622.1_cds_BAP24456.1_5324	771	771	166	0.94	--	0	606	948	0.0	length=756 	[gene=NCGM1900_5385] [protein=prophage P4 integrase] [protein_id=BAP24456.1]
ZS_10_scaffold8244_2	3111	171	277	CP013924.1_cds_KBNAB1_1340_1313	471	471	365	1	--	0	107	212	4e-55	length=3111 	[gene=KBNAB1_1340] [protein=IntI1 integrase] [protein_id=ALX98896.1]
ZS_10_scaffold9212_2	1410	1	853	CP000450.1_cds_Neut_0680_659	1203	853	1	1	--	0	853	1691	0.0	length=1410 	[gene=Neut_0680] [protein=phage integrase family protein] [protein_id=ABI58952.1]
Query_id	Query_length	Query_start	Query_end	Subject_id	Subject_length	Subject_start	Subject_end	Identity	Positive	Gap	Align_length	Score	E_value	Query_annotation	Subject_annotation
ZS_12_C6894023_1	817	236	298	AP017302.1_cds_BAT68944.1_6421	864	193	255	0.92	--	0	63	85.7	1e-17	length=817 	[gene=int] [protein=integrase] [protein_id=BAT68944.1]
ZS_12_C6935802_1	1799	258	1460	CP000450.1_cds_Neut_0680_659	1203	1203	1	1	--	0	1203	2385	0.0	length=1799 	[gene=Neut_0680] [protein=phage integrase family protein] [protein_id=ABI58952.1]
ZS_12_C6940318_1	2586	1810	1863	CP011370.1_cds_YH69_33720_21	1509	615	562	0.92	--	0	54	75.8	4e-14	length=2586 	[gene=YH69_33720] [protein=integrase] [protein_id=AKG03016.1]
ZS_12_C6940504_1	2651	30	1317	CP008739.2_cds_AID83695.2_1737	1305	1	1288	1	--	0	1288	2553	0.0	length=2651 	[gene=P797_10085] [protein=integrase] [protein_id=AID83695.2]
ZS_12_scaffold11965_1	22671	9203	9275	CP000089.1_cds_Daro_2531_2505	1200	209	281	0.91	--	0	73	97.6	1e-19	length=22671 	[gene=Daro_2531] [protein=Phage integrase, N-terminal SAM-like protein] [protein_id=AAZ47264.1]
ZS_12_scaffold11965_1	22671	9856	9906	CP000089.1_cds_Daro_2531_2505	1200	862	912	0.92	--	0	51	69.9	2e-11	length=22671 	[gene=Daro_2531] [protein=Phage integrase, N-terminal SAM-like protein] [protein_id=AAZ47264.1]
ZS_12_scaffold15389_2	4734	1680	1730	CP011370.1_cds_YH69_33720_21	1509	609	559	0.92	--	0	51	69.9	5e-12	length=4734 	[gene=YH69_33720] [protein=integrase] [protein_id=AKG03016.1]
ZS_12_scaffold162604_1	633	1	633	CP014646.1_cds_AC731_03660_711	849	126	758	0.96	--	0	633	1096	0.0	length=633 	[gene=AC731_003660] [protein=integrase] [protein_id=AMO36112.1]
ZS_12_scaffold175130_1	714	7	57	AF071555.1_cds_AAC98497.1_7	654	516	466	0.9	--	0	51	61.9	2e-10	length=714 	[protein=GroEL-like/integrase fusion protein] [protein_id=AAC98497.1]
ZS_12_scaffold17564_1	5322	1733	1783	CP011370.1_cds_YH69_33720_21	1509	609	559	0.94	--	0	51	77.8	2e-14	length=5322 	[gene=YH69_33720] [protein=integrase] [protein_id=AKG03016.1]
ZS_12_scaffold191071_2	1291	3	158	CP000450.1_cds_Neut_0680_659	1203	444	289	0.92	--	0	156	214	4e-56	length=1291 	[gene=Neut_0680] [protein=phage integrase family protein] [protein_id=ABI58952.1]
ZS_12_scaffold194816_1	626	112	167	CP000089.1_cds_Daro_3427_3397	984	214	269	0.91	--	0	56	71.9	2e-13	length=626 	[gene=Daro_3427] [protein=Integron integrase] [protein_id=AAZ48156.1]
ZS_12_scaffold206245_1	1194	578	627	AY928776.1_cds_AAX24165.1_1	948	846	895	0.9	--	0	50	60.0	1e-09	length=1194 	[gene=intI] [protein=truncated integrase] [protein_id=AAX24165.1]
ZS_12_scaffold241174_1	590	143	206	AB258257.1_cds_BAE93635.1_1	486	476	413	0.9	--	0	64	79.8	6e-16	length=590 	[gene=IntI] [protein=integron integrase] [frame=3] [partial=5',3'] [protein_id=BAE93635.1]
ZS_12_scaffold254161_2	725	1	725	AP014622.1_cds_BAP22587.1_3453	1944	1662	938	0.91	--	0	725	938	0.0	length=725 	[gene=int] [protein=integrase] [protein_id=BAP22587.1]
ZS_12_scaffold254161_4	538	2	538	AP014622.1_cds_BAP22587.1_3453	1944	656	120	0.9	--	0	537	652	0.0	length=538 	[gene=int] [protein=integrase] [protein_id=BAP22587.1]
ZS_12_scaffold254312_1	755	1	222	AP017302.1_cds_BAT64984.1_2461	528	222	1	0.93	--	0	222	321	1e-88	length=755 	[gene=IOMTU133_2494] [protein=integrase regulator R] [protein_id=BAT64984.1]
ZS_12_scaffold268211_1	667	215	265	CP014646.1_cds_AC731_03555_690	621	621	571	0.9	--	0	51	61.9	2e-10	length=667 	[gene=AC731_003555] [protein=integrase] [protein_id=AMO36095.1]
ZS_12_scaffold275900_1	1041	724	776	CP001715.1_cds_CAP2UW1_1822_1748	1023	943	995	0.92	--	0	53	73.8	7e-14	length=1041 	[gene=CAP2UW1_1822] [protein=integron integrase] [protein_id=ACV35123.1]
ZS_12_scaffold285842_1	726	151	220	AB258249.1_cds_BAE93627.1_1	486	482	413	0.9	--	0	70	83.8	5e-17	length=726 	[gene=IntI] [protein=integron integrase] [frame=3] [partial=5',3'] [protein_id=BAE93627.1]
ZS_12_scaffold289739_1	918	157	212	AP017302.1_cds_BAT68953.1_6430	1191	769	824	0.91	--	0	56	71.9	2e-13	length=918 	[gene=int] [protein=integrase] [protein_id=BAT68953.1]
ZS_12_scaffold299987_1	632	402	457	AP017302.1_cds_BAT68944.1_6421	864	193	248	0.91	--	0	56	71.9	2e-13	length=632 	[gene=int] [protein=integrase] [protein_id=BAT68944.1]
ZS_12_scaffold305240_1	627	386	435	AY928776.1_cds_AAX24165.1_1	948	245	196	0.9	--	0	50	60.0	6e-10	length=627 	[gene=intI] [protein=truncated integrase] [protein_id=AAX24165.1]
ZS_12_scaffold321223_1	3334	359	1372	AB207867.1_cds_BAE54317.1_4	1014	1014	1	0.99	--	0	1014	2002	0.0	length=3334 	[gene=intI1] [protein=integrase] [protein_id=BAE54317.1]
ZS_12_scaffold321543_1	1718	243	298	AB070224.1_cds_BAB71947.1_2	1041	940	995	0.91	--	0	56	71.9	5e-13	length=1718 	[gene=intI3] [protein=integrase] [protein_id=BAB71947.1]
ZS_12_scaffold323622_1	544	129	182	CP012754.1_cds_AN966_27590_209	486	330	277	0.9	--	0	54	67.9	2e-12	length=544 	[gene=AN966_27590] [protein=integrase] [protein_id=ALH88678.1]
ZS_12_scaffold324269_1	1557	1	368	AP014651.1_cds_BAQ39236.1_2604	528	368	1	0.98	--	0	368	682	0.0	length=1557 	[gene=PA257_2636] [protein=integrase regulator r protein] [protein_id=BAQ39236.1]
Query_id	Query_length	Query_start	Query_end	Subject_id	Subject_length	Subject_start	Subject_end	Identity	Positive	Gap	Align_length	Score	E_value	Query_annotation	Subject_annotation
ZS_1_C5360826_1	928	1	811	AB207867.1_cds_BAE54317.1_4	1014	811	1	0.99	--	0	811	1600	0	length=928 	[gene=intI1] [protein=integrase] [protein_id=BAE54317.1]
ZS_1_C5360826_1	928	1	811	AB207867.1_cds_BAE54317.1_4	1014	811	1	0.99	--	0	811	1600	0	length=928 	[gene=intI1] [protein=integrase] [protein_id=BAE54317.1]
ZS_1_scaffold17526_3	778	152	201	AY928776.1_cds_AAX24165.1_1	948	895	846	0.9	--	0	50	60	8.00E-10	length=778 	[gene=intI] [protein=truncated integrase] [protein_id=AAX24165.1]
ZS_1_scaffold187166_2	944	476	531	AP017302.1_cds_BAT68953.1_6430	1191	824	769	0.91	--	0	56	71.9	3.00E-13	length=944 	[gene=int] [protein=integrase] [protein_id=BAT68953.1]
ZS_1_scaffold222452_6	1803	1027	1080	CP011370.1_cds_YH69_33720_21	1509	615	562	0.92	--	0	54	75.8	3.00E-14	length=1803 	[gene=YH69_33720] [protein=integrase] [protein_id=AKG03016.1]
ZS_1_scaffold229012_1	524	160	222	AP014622.1_cds_BAP22664.1_3530	528	82	144	0.9	--	0.03	64	63.9	3.00E-11	length=524 	[gene=NCGM1900_3578] [protein=putative integrase regulator R protein] [protein_id=BAP22664.1]
