Query_id	Query_length	Query_start	Query_end	Subject_id	Subject_length	Subject_start	Subject_end	Identity	Positive	Gap	Align_length	Score	E_value	Query_annotation	Subject_annotation
ZS_10_C3517275_1	501	1	501	TnAs1	6694	4795	5295	1	--	0	501	993	0.0	length=501 	Family:Tn3
ZS_10_C3518969_1	507	1	141	ISPam3	1197	1057	1197	0.95	--	0	141	232	4e-61	length=507 	Family:IS3
ZS_10_C3522107_1	518	1	93	IS1096	2259	124	32	0.91	--	0	93	121	1e-27	length=518 	Family:ISL3
ZS_10_C3529191_1	546	48	97	ISArsp6	26712	10993	10944	0.94	--	0	50	75.8	6e-14	length=546 	Family:Tn3
ZS_10_C3529441_1	547	48	547	ISAav3	1321	1	500	0.91	--	0	500	634	0.0	length=547 	Family:IS5
ZS_10_C3532293_1	560	16	560	ISEc9	1656	1	545	0.99	--	0	545	1072	0.0	length=560 	Family:IS1380
ZS_10_C3533189_1	563	164	213	ISSsv1	967	945	896	0.9	--	0	50	60.0	3e-09	length=563 	Family:IS5
ZS_10_C3535353_1	573	1	54	ISBj3	1284	353	406	0.9	--	0	54	67.9	1e-11	length=573 	Family:IS3
ZS_10_C3537921_1	587	1	98	ISOba1	1271	98	1	0.94	--	0	98	155	8e-38	length=587 	Family:IS3
ZS_10_C3540585_1	601	1	502	ISMma5	1522	1021	1522	1	--	0	502	995	0.0	length=601 	Family:IS110
ZS_10_C3540767_1	602	56	117	IS1600	2520	793	854	0.9	--	0	62	75.8	6e-14	length=602 	Family:IS21
ZS_10_C3548407_1	649	25	649	ISSsp4	2558	814	190	0.92	--	0	625	874	0.0	length=649 	Family:IS21
ZS_10_C3552843_1	684	441	640	TnAs3	18735	1980	2179	0.94	--	0	201	287	1e-77	length=684 	Family:Tn3
ZS_10_C3555288_1	705	1	705	ISCgl1	2435	2028	1324	0.99	--	0	705	1382	0.0	length=705 	Family:IS481
ZS_10_C3555420_1	706	249	309	ISStau1	1376	832	892	0.9	--	0	61	73.8	3e-13	length=706 	Family:IS3
ZS_10_C3555706_1	709	227	709	ISMac24	1534	1	483	0.9	--	0	483	622	1e-178	length=709 	Family:IS66
